"gene_compare","uchar","gene","compare"
"ENSG00000020633 HCC1395/HCC1395BL",0.814548740949523,"ENSG00000020633","HCC1395/HCC1395BL"
"ENSG00000020922 HCC1395/HCC1395BL",1.84478313727519,"ENSG00000020922","HCC1395/HCC1395BL"
"ENSG00000021300 HCC1395/HCC1395BL",1.3745802517095,"ENSG00000021300","HCC1395/HCC1395BL"
"ENSG00000021574 HCC1395/HCC1395BL",0.970441200543797,"ENSG00000021574","HCC1395/HCC1395BL"
"ENSG00000021776 HCC1395/HCC1395BL",0.593420621745064,"ENSG00000021776","HCC1395/HCC1395BL"
"ENSG00000021826 HCC1395/HCC1395BL",2.15483968997267,"ENSG00000021826","HCC1395/HCC1395BL"
"ENSG00000022267 HCC1395/HCC1395BL",1.46578322190848,"ENSG00000022267","HCC1395/HCC1395BL"
"ENSG00000022277 HCC1395/HCC1395BL",0.978502063411376,"ENSG00000022277","HCC1395/HCC1395BL"
"ENSG00000022556 HCC1395/HCC1395BL",0.835551617527973,"ENSG00000022556","HCC1395/HCC1395BL"
"ENSG00000022567 HCC1395/HCC1395BL",1.26902827059601,"ENSG00000022567","HCC1395/HCC1395BL"
"ENSG00000022840 HCC1395/HCC1395BL",0.685995186369139,"ENSG00000022840","HCC1395/HCC1395BL"
