"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000015676 HCC1395/HCC1395BL",0.685938987376103,0,8,"non-DEG",100
"ENSG00000016391 HCC1395/HCC1395BL",0.386756564224292,0,8,"down-regulate",100
"ENSG00000017260 HCC1395/HCC1395BL",1.56006258031092,0,8,"non-DEG",100
"ENSG00000017797 HCC1395/HCC1395BL",0.691057811141256,0,8,"non-DEG",100
"ENSG00000018189 HCC1395/HCC1395BL",0.324535796897449,0,8,"down-regulate",100
"ENSG00000018280 HCC1395/HCC1395BL",0.262729004512514,1.68412626595787e-274,8,"down-regulate",100
"ENSG00000018408 HCC1395/HCC1395BL",27.8805354776176,0,8,"up-regulate",100
"ENSG00000018510 HCC1395/HCC1395BL",0.590202652034744,0,8,"non-DEG",100
"ENSG00000018610 HCC1395/HCC1395BL",1.0735067091903,1.86968057746537e-44,8,"non-DEG",100
"ENSG00000018699 HCC1395/HCC1395BL",0.655071585820366,0,8,"non-DEG",100
"ENSG00000019144 HCC1395/HCC1395BL",299.340662163165,0,8,"up-regulate",100
"ENSG00000019485 HCC1395/HCC1395BL",2.03501813056331,1.24156771516457e-285,4.33333333333333,"up-regulate",54.1666666666667
"ENSG00000019582 HCC1395/HCC1395BL",0.00204255458754316,0,8,"down-regulate",100
"ENSG00000020129 HCC1395/HCC1395BL",1.47752866565451,2.05103922277165e-293,8,"non-DEG",100
"ENSG00000020256 HCC1395/HCC1395BL",1.21951132621323,1.20728297673422e-149,8,"non-DEG",100
"ENSG00000020426 HCC1395/HCC1395BL",0.514227304424324,0,5.66666666666667,"non-DEG",70.8333333333333
"ENSG00000020577 HCC1395/HCC1395BL",0.553344053970658,0,8,"non-DEG",100
"ENSG00000020633 HCC1395/HCC1395BL",0.354887551992527,0,8,"down-regulate",100
"ENSG00000020922 HCC1395/HCC1395BL",0.414812624492959,0,8,"down-regulate",100
"ENSG00000021300 HCC1395/HCC1395BL",1.93216728576059,0,6,"non-DEG",75
"ENSG00000021574 HCC1395/HCC1395BL",0.487867908264616,0,6,"down-regulate",75
"ENSG00000021776 HCC1395/HCC1395BL",0.632395068868962,0,8,"non-DEG",100
"ENSG00000021826 HCC1395/HCC1395BL",2.22713526402858,7.57329245287939e-190,5.66666666666667,"up-regulate",70.8333333333333
"ENSG00000022267 HCC1395/HCC1395BL",8.29258445536056,0,8,"up-regulate",100
"ENSG00000022277 HCC1395/HCC1395BL",1.66892403787875,0,8,"non-DEG",100
"ENSG00000022556 HCC1395/HCC1395BL",1.92195844946977,0,6,"non-DEG",75
"ENSG00000022567 HCC1395/HCC1395BL",1.93258795142379,0,5.5,"non-DEG",68.75
"ENSG00000022840 HCC1395/HCC1395BL",0.891189937821693,1.0110039274408e-143,8,"non-DEG",100
"ENSG00000022976 HCC1395/HCC1395BL",0.95244796956224,6.17204645635071e-58,8,"non-DEG",100
"ENSG00000023041 HCC1395/HCC1395BL",0.475174077209218,0,6.66666666666667,"down-regulate",83.3333333333333
