Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MGI_PolyA_HCC1395_1_3_R2	MGI_PolyA_HCC1395_1_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39120501.0	5.8 Gbp	0.0	31-150	48.0	48.131783461412276	149.92634562629962	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_1_R1	MGI_PolyA_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22643918.0	3.3 Gbp	0.0	31-150	46.0	53.56706341157433	149.92897545380617	150	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_1_R2	MGI_PolyA_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22643918.0	3.3 Gbp	0.0	31-150	46.0	53.186634726707105	149.92897545380617	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_2_1_R1	MGI_PolyA_HCC1395_2_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39217873.0	5.8 Gbp	0.0	31-150	47.0	49.00739084083679	149.92906326153894	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_2_1_R2	MGI_PolyA_HCC1395_2_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39217873.0	5.8 Gbp	0.0	31-150	47.0	48.43962015867042	149.92906326153894	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_2_2_R1	MGI_PolyA_HCC1395_2_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38003532.0	5.6 Gbp	0.0	31-150	47.0	49.122163811560924	149.92750650123784	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_2_2_R2	MGI_PolyA_HCC1395_2_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38003532.0	5.6 Gbp	0.0	31-150	48.0	48.77393713641079	149.92750650123784	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_2_3_R1	MGI_PolyA_HCC1395_2_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39279702.0	5.8 Gbp	0.0	31-150	48.0	48.94104821943272	149.92681566168704	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_2_3_R2	MGI_PolyA_HCC1395_2_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39279702.0	5.8 Gbp	0.0	31-150	48.0	48.18200159184784	149.92681566168704	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_2_R1	MGI_PolyA_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22525977.0	3.3 Gbp	0.0	31-150	46.0	53.52645752866003	149.93114061157036	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_2_R2	MGI_PolyA_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22525977.0	3.3 Gbp	0.0	31-150	46.0	53.424725025433325	149.93114061157036	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_3_1_R1	MGI_PolyA_HCC1395_3_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37851418.0	5.6 Gbp	0.0	31-150	48.0	49.08090534613904	149.9257737187019	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_3_1_R2	MGI_PolyA_HCC1395_3_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37851418.0	5.6 Gbp	0.0	31-150	48.0	48.526565720311915	149.9257737187019	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_3_2_R1	MGI_PolyA_HCC1395_3_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32882369.0	4.9 Gbp	0.0	31-150	48.0	50.72866959167496	149.9220082652804	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_3_2_R2	MGI_PolyA_HCC1395_3_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32882369.0	4.9 Gbp	0.0	31-150	48.0	50.256999256083944	149.9220082652804	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_3_3_R1	MGI_PolyA_HCC1395_3_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39139210.0	5.8 Gbp	0.0	31-150	47.0	48.55316632429428	149.92629353019643	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_3_3_R2	MGI_PolyA_HCC1395_3_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39139210.0	5.8 Gbp	0.0	31-150	47.0	48.10098167084277	149.92629353019643	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395_3_R1	MGI_PolyA_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22561267.0	3.3 Gbp	0.0	31-150	46.0	53.718083268023065	149.92704004611087	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
MGI_PolyA_HCC1395_3_R2	MGI_PolyA_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22561267.0	3.3 Gbp	0.0	31-150	46.0	52.97275828149497	149.92704004611087	150	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass
