Sample	sequenced_bases	general_error_rate	mapped_bases	mapped_reads	total_reads	bam_file	median_insert_size	mean_coverage	mean_insert_size	mean_mapping_quality
SEQ_PolyA_HCC1395_4	14018509882.0	0.0002	165706054076.0	97907396.0	98368646.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_4.Aligned.sortedByCoord.out.bam	260.0	53.4579	2370.872	21.7702
SEQ_PolyA_HCC1395_5	14463068895.0	0.0002	171182006572.0	101350110.0	101854792.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_5.Aligned.sortedByCoord.out.bam	260.0	55.2244	2352.6695	19.8366
SEQ_PolyA_HCC1395_6	14438678307.0	0.0002	170104854180.0	100464362.0	101025932.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395_6.Aligned.sortedByCoord.out.bam	266.0	54.8769	2389.0785	20.8021
SEQ_RiboZero_HCC1395BL_1	17238442873.0	0.0003	137961830913.0	123930498.0	125130786.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	190.0	44.5074	1471.9024	34.8573
SEQ_RiboZero_HCC1395BL_2	19360147536.0	0.0003	161930396030.0	140827114.0	142797270.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	182.0	52.2398	1489.8522	35.5807
SEQ_RiboZero_HCC1395BL_3	17873463030.0	0.0003	137549670333.0	129480240.0	130858798.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	186.0	44.3744	1412.6341	36.3378
SEQ_RiboZero_HCC1395BL_4	19084861979.0	0.0003	146881827715.0	137052576.0	138879154.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_4.Aligned.sortedByCoord.out.bam	195.0	47.385	1460.6369	40.0042
SEQ_RiboZero_HCC1395BL_5	19158326762.0	0.0003	154691140897.0	139427206.0	140641576.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_5.Aligned.sortedByCoord.out.bam	182.0	49.9044	1431.1675	37.2762
SEQ_RiboZero_HCC1395BL_6	19172252473.0	0.0003	162726668527.0	139358800.0	140575922.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395BL_6.Aligned.sortedByCoord.out.bam	182.0	52.4967	1504.6987	35.2515
SEQ_RiboZero_HCC1395_1	18721827383.0	0.0003	166337635020.0	135399492.0	136942648.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	190.0	53.6616	1623.9187	33.6943
SEQ_RiboZero_HCC1395_2	17890344368.0	0.0003	162137474929.0	129680262.0	130664002.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	188.0	52.3066	1651.1324	34.7637
SEQ_RiboZero_HCC1395_3	16409855672.0	0.0003	147548936461.0	118708156.0	120036996.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	186.0	47.6003	1627.7415	33.6825
SEQ_RiboZero_HCC1395_4	19660508914.0	0.0002	182769832805.0	142241028.0	143083588.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_4.Aligned.sortedByCoord.out.bam	190.0	58.9628	1681.206	33.4766
SEQ_RiboZero_HCC1395_5	17191999003.0	0.0003	159387984367.0	124595254.0	125657526.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_5.Aligned.sortedByCoord.out.bam	187.0	51.4196	1673.3814	35.2034
SEQ_RiboZero_HCC1395_6	17587618039.0	0.0003	147620047629.0	128260290.0	128987718.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_RiboZero_HCC1395_6.Aligned.sortedByCoord.out.bam	184.0	47.6232	1523.0042	38.8804
