Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
NVG_PolyA_HCC1395BL_3_bamqc				4.597292071665229	1.224661318071836	11.337265379415584	0	0.8824076349484049	323	2.6394925735444255		50.14541813404209
NVG_PolyA_HCC1395_1	34.2981	0.02	64678358.0								70644828.0	
NVG_PolyA_HCC1395_1_bamqc				3.6624190564991106	1.1736849608175492	9.359885693879207	0	0.8671220832023048	379	2.2643124362363647		51.12690243448132
NVG_PolyA_HCC1395_2	33.327	0.02	62677044.0								67727982.0	
NVG_PolyA_HCC1395_2_bamqc				3.6552563514883265	1.1504021530804918	9.440698611687521	0	0.8458442431434255	340	2.243629902112664		51.17060919118861
NVG_PolyA_HCC1395_3	33.5109	0.02	63068349.0								67428442.0	
NVG_PolyA_HCC1395_3_bamqc				3.5450058084315925	1.1470477865697843	9.04753273775998	0	0.8460043205319454	334	2.2067237085482305		51.104063867513716
SEQ_PolyA_HCC1395BL_1	51.5444	0.02	94893124.0								96044302.0	
SEQ_PolyA_HCC1395BL_1_bamqc				4.7692484154140296	1.423195024807153	12.283012527073797	0	1.037329737945721	197	2.9492684192032503		47.519934567391154
SEQ_PolyA_HCC1395BL_2	48.6931	0.02	89739158.0								90876368.0	
SEQ_PolyA_HCC1395BL_2_bamqc				4.648581776697568	1.3753934712371925	12.21434777969136	0	1.000704405676018	203	2.8544306961912285		47.47056211062116
SEQ_PolyA_HCC1395BL_3	62.4734	0.02	115894910.0								117194510.0	
SEQ_PolyA_HCC1395BL_3_bamqc				5.737928310401637	1.651583906496574	14.63093659004356	0	1.1921319603352698	212	3.5125496823902984		46.72792490291372
SEQ_PolyA_HCC1395BL_4	56.0529	0.02	104036992.0								105043560.0	
SEQ_PolyA_HCC1395BL_4_bamqc				5.236906795677368	1.5421669788609111	13.187601365046284	0	1.1222330491932158	209	3.2299709592324706		46.997084961089634
SEQ_PolyA_HCC1395BL_5	55.7532	0.02	102675786.0								103772482.0	
SEQ_PolyA_HCC1395BL_5_bamqc				5.107540715472463	1.5216916872087647	12.895116167854372	0	1.1083756122868975	215	3.1677596985397325		46.962239522264355
SEQ_PolyA_HCC1395BL_6	53.1966	0.02	98521264.0								99472544.0	
SEQ_PolyA_HCC1395BL_6_bamqc				5.10091095654357	1.4969396645527286	13.085931931381845	0	1.087699078645717	214	3.1328426971913683		46.891400799907224
SEQ_PolyA_HCC1395_1	49.9952	0.02	91328634.0								91820336.0	
SEQ_PolyA_HCC1395_1_bamqc				4.25453783216125	1.3834753469359466	10.635163824164005	0	1.0297242876547985	219	2.7058528452932196		48.045698194430024
SEQ_PolyA_HCC1395_2	43.467	0.02	79031332.0								79417882.0	
SEQ_PolyA_HCC1395_2_bamqc				3.9293252613096095	1.2786314967150851	10.072333855331653	0	0.9484346540927231	227	2.4908855590109424		48.036963299726125
SEQ_PolyA_HCC1395_3	47.7496	0.02	87627764.0								88054906.0	
SEQ_PolyA_HCC1395_3_bamqc				4.223866075413874	1.3482149308756124	10.843810602191786	0	0.999658773205904	213	2.658605949228463		48.09825943587318
SEQ_PolyA_HCC1395_4	53.4579	0.02	97907396.0								98368646.0	
SEQ_PolyA_HCC1395_4_bamqc				4.4269890221540065	1.4309343568317225	10.941333799216817	0	1.063298664908963	218	2.8137733300139525		47.7139615645748
